time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
1.668325856116032e-02	3.600271e+00	1.800135e-06	8.693035e-06	3.301977e-01
1.668422236156213e-02	3.600286e+00	1.800142e-06	8.207337e-06	3.302018e-01
1.668542311717671e-02	3.600306e+00	1.800152e-06	7.974360e-06	3.302068e-01
1.668700191221502e-02	3.600332e+00	1.800165e-06	7.881781e-06	3.302135e-01
1.668923939007737e-02	3.600368e+00	1.800183e-06	7.854986e-06	3.302230e-01
1.669276824043784e-02	3.600426e+00	1.800212e-06	7.850771e-06	3.302380e-01
1.669943988384158e-02	3.600535e+00	1.800267e-06	7.850604e-06	3.302662e-01
1.671278317064904e-02	3.600753e+00	1.800375e-06	7.850205e-06	3.303227e-01
1.673946974426397e-02	3.601188e+00	1.800593e-06	7.849419e-06	3.304357e-01
1.679284289149383e-02	3.602057e+00	1.801028e-06	7.847843e-06	3.306617e-01
1.689958918595354e-02	3.603794e+00	1.801896e-06	7.844694e-06	3.311135e-01
1.711308177487297e-02	3.607258e+00	1.803628e-06	7.838396e-06	3.320166e-01
1.754006695271183e-02	3.614143e+00	1.807070e-06	7.825821e-06	3.338198e-01
2.034716230838954e-02	3.657944e+00	1.828971e-06	7.744148e-06	3.455621e-01
2.285832302267526e-02	3.695247e+00	1.847623e-06	7.671488e-06	3.561202e-01
2.536948373696097e-02	3.729611e+00	1.864804e-06	7.605665e-06	3.659061e-01
2.788064445124669e-02	3.761036e+00	1.880517e-06	7.546679e-06	3.749198e-01
3.039180516553240e-02	3.789522e+00	1.894760e-06	7.494530e-06	3.831614e-01
3.290296587981811e-02	3.815069e+00	1.907533e-06	7.449217e-06	3.906309e-01
3.541412659410383e-02	3.837677e+00	1.918837e-06	7.410742e-06	3.973282e-01
3.792528730838954e-02	3.857346e+00	1.928672e-06	7.379104e-06	4.032533e-01
3.973890337981811e-02	3.869150e+00	1.934574e-06	7.363210e-06	4.066155e-01
4.155251945124668e-02	3.879046e+00	1.939522e-06	7.352326e-06	4.092988e-01
4.336613552267525e-02	3.887032e+00	1.943515e-06	7.346453e-06	4.113030e-01
4.517975159410383e-02	3.893109e+00	1.946554e-06	7.345589e-06	4.126283e-01
4.699336766553240e-02	3.897277e+00	1.948638e-06	7.349736e-06	4.132746e-01
4.880698373696097e-02	3.899536e+00	1.949767e-06	7.358893e-06	4.132419e-01
5.062059980838954e-02	3.899886e+00	1.949942e-06	7.373061e-06	4.125302e-01
5.215519802267525e-02	3.898597e+00	1.949298e-06	7.389217e-06	4.113348e-01
5.368979623696097e-02	3.895943e+00	1.947970e-06	7.408751e-06	4.096909e-01
5.522439445124668e-02	3.891922e+00	1.945960e-06	7.431662e-06	4.075984e-01
5.675899266553240e-02	3.886534e+00	1.943266e-06	7.457952e-06	4.050574e-01
5.829359087981811e-02	3.879781e+00	1.939889e-06	7.487619e-06	4.020679e-01
5.982818909410383e-02	3.871661e+00	1.935830e-06	7.520664e-06	3.986299e-01
6.136278730838954e-02	3.862175e+00	1.931087e-06	7.557087e-06	3.947434e-01
6.345542123696096e-02	3.846963e+00	1.923480e-06	7.612952e-06	3.887004e-01
6.554805516553240e-02	3.829602e+00	1.914800e-06	7.672310e-06	3.822210e-01
6.764068909410383e-02	3.810092e+00	1.905045e-06	7.735160e-06	3.753054e-01
6.973332302267525e-02	3.788435e+00	1.894217e-06	7.801502e-06	3.679534e-01
7.182595695124669e-02	3.764629e+00	1.882314e-06	7.871336e-06	3.601651e-01
7.391859087981811e-02	3.738676e+00	1.869337e-06	7.944663e-06	3.519405e-01
7.601122480838954e-02	3.710574e+00	1.855286e-06	8.021481e-06	3.432796e-01
7.684827837981811e-02	3.698906e+00	1.849452e-06	8.051771e-06	3.398412e-01
7.768533195124668e-02	3.686984e+00	1.843491e-06	8.081812e-06	3.363996e-01
7.852238552267525e-02	3.674807e+00	1.837403e-06	8.111604e-06	3.329548e-01
7.935943909410383e-02	3.662376e+00	1.831187e-06	8.141148e-06	3.295068e-01
8.019649266553240e-02	3.649690e+00	1.824844e-06	8.170442e-06	3.260555e-01
8.103354623696096e-02	3.636749e+00	1.818373e-06	8.199487e-06	3.226010e-01
8.187059980838954e-02	3.623553e+00	1.811776e-06	8.228284e-06	3.191433e-01
8.284716230838954e-02	3.607901e+00	1.803950e-06	8.261094e-06	3.151379e-01
8.296923262088954e-02	3.605924e+00	1.802961e-06	8.265131e-06	3.146390e-01
8.321337324588954e-02	3.601956e+00	1.800977e-06	8.273121e-06	3.136437e-01
8.333332174653478e-02	3.600000e+00	1.799999e-06	8.277028e-06	3.131554e-01
