time	V(pb_3v3)	V(reset_logic)	V(stm32_3v3)	I(R16)
1.668721608327866e-02	3.600335e+00	1.800167e-06	9.589696e-06	2.804483e-01
1.668869186344324e-02	3.600359e+00	1.800179e-06	9.357324e-06	2.804548e-01
1.669066070013059e-02	3.600392e+00	1.800195e-06	9.269652e-06	2.804633e-01
1.669350213874037e-02	3.600438e+00	1.800218e-06	9.246494e-06	2.804756e-01
1.669812299173861e-02	3.600513e+00	1.800256e-06	9.243412e-06	2.804957e-01
1.670733908301037e-02	3.600664e+00	1.800331e-06	9.242985e-06	2.805358e-01
1.672577126555390e-02	3.600964e+00	1.800481e-06	9.241869e-06	2.806158e-01
1.676263563064096e-02	3.601565e+00	1.800782e-06	9.239686e-06	2.807761e-01
1.683636436081506e-02	3.602766e+00	1.801382e-06	9.235300e-06	2.810967e-01
1.698382182116328e-02	3.605162e+00	1.802580e-06	9.226529e-06	2.817385e-01
1.727873674185971e-02	3.609936e+00	1.804967e-06	9.208949e-06	2.830250e-01
1.786856658325258e-02	3.619401e+00	1.809700e-06	9.173677e-06	2.856069e-01
1.884512908325258e-02	3.634832e+00	1.817415e-06	9.115034e-06	2.899017e-01
2.177481658325258e-02	3.679174e+00	1.839586e-06	8.937554e-06	3.029143e-01
2.428597729753829e-02	3.715082e+00	1.857540e-06	8.782961e-06	3.143485e-01
2.679713801182401e-02	3.747953e+00	1.873976e-06	8.629080e-06	3.256394e-01
2.930829872610972e-02	3.777786e+00	1.888892e-06	8.475908e-06	3.367871e-01
3.181945944039544e-02	3.804583e+00	1.902290e-06	8.323446e-06	3.477915e-01
3.433062015468115e-02	3.828341e+00	1.914170e-06	8.171695e-06	3.586526e-01
3.684178086896686e-02	3.849063e+00	1.924531e-06	8.020654e-06	3.693705e-01
3.935294158325257e-02	3.866747e+00	1.933373e-06	7.870322e-06	3.799451e-01
4.102704872610972e-02	3.876356e+00	1.938177e-06	7.771709e-06	3.867123e-01
